"awayAST.awayBLK.awayPF.awayORB.awayDRB.awayTRB.homeAST.homeBLK.homePF.homeORB.homeDRB.homeTRB.awayFGR.homeFGR.away2PR.home2PR.away3PR.home3PR.awayFTR.homeFTR.homeAttR.awayAttR.homeScore.awayScore.win"
"48","48 21.1111111111111 4.55555555555556 19.2222222222222 9.11111111111111 27 36.1111111111111 24.3333333333333 7.77777777777778 20.8888888888889 12.2222222222222 29.1111111111111 41.3333333333333 0.470645410365131 0.479275854086712 0.493844302535723 0.502106871374279 0.384712724496006 0.378384578384578 0.742779046124881 0.721373811373811 0.364535268273337 0.357957170346776 68 62 TRUE"
"49","49 20.3333333333333 5 19.2222222222222 9.66666666666667 28.3333333333333 38 24.1111111111111 8.33333333333333 19.7777777777778 13 30 43 0.460391611876039 0.465797282265179 0.484756267131898 0.491458073909212 0.369561209344491 0.351689051689052 0.72414550575221 0.710625300625301 0.356815970027723 0.35359987187183 91 75 TRUE"
"50","50 21.8888888888889 5.11111111111111 19.1111111111111 9.11111111111111 28.2222222222222 37.3333333333333 25 7.44444444444444 19.7777777777778 12.7777777777778 30.3333333333333 43.1111111111111 0.467250322438453 0.474842008177375 0.49844386777602 0.500608400706598 0.351042690825973 0.364034730701397 0.741076722683427 0.703006253006253 0.361566404926692 0.356476534942668 77 59 TRUE"
"51","51 21.3333333333333 5.33333333333333 19.1111111111111 8.88888888888889 28.5555555555556 37.4444444444444 24.4444444444444 7.77777777777778 19.7777777777778 12 30.8888888888889 42.8888888888889 0.461882635911346 0.475015408558856 0.488182364962382 0.502988523776376 0.360301950085232 0.357197123863791 0.747260297562654 0.728258778258778 0.358755434882713 0.35098711695325 83 71 TRUE"
"52","52 20.6666666666667 5.22222222222222 19.1111111111111 9.33333333333333 29.3333333333333 38.6666666666667 25.3333333333333 7.77777777777778 21.4444444444444 12.8888888888889 32.6666666666667 45.5555555555556 0.447527591211474 0.473077605777171 0.48060495148333 0.497966405639504 0.306069145852428 0.365221815221815 0.732917523415958 0.728258778258778 0.36440594520612 0.347166128738831 72 70 TRUE"
"53","53 20.3333333333333 6.33333333333333 19.5555555555556 11 29.8888888888889 40.8888888888889 25.4444444444444 7.33333333333333 20.6666666666667 13.3333333333333 32.3333333333333 45.6666666666667 0.440504271595562 0.461523316445104 0.476997620112809 0.484182735605834 0.272735812519094 0.37284708755297 0.712547153045588 0.748629148629149 0.357555769238297 0.341275217067019 83 70 TRUE"
"54","54 20.6666666666667 6.44444444444444 20.2222222222222 11.2222222222222 30.1111111111111 41.3333333333333 25.7777777777778 7.77777777777778 21.3333333333333 12.5555555555556 33.5555555555556 46.1111111111111 0.430483977328692 0.479870894792682 0.464539707654896 0.499847580778876 0.277958984408933 0.409448394742512 0.717141973429882 0.748629148629149 0.372202233884762 0.336844000135802 82 69 TRUE"
"55","55 19.8888888888889 6.33333333333333 20.5555555555556 11.3333333333333 30.4444444444444 41.7777777777778 25.1111111111111 7.66666666666667 21.3333333333333 13.3333333333333 33.6666666666667 47 0.425500317197973 0.471169422235788 0.460173480289633 0.499423816053052 0.273831017432669 0.378019823313941 0.72161196065849 0.705894105894106 0.367481827203571 0.334376320191707 74 80 TRUE"
"56","56 20.6666666666667 6.55555555555556 21.2222222222222 10.8888888888889 30.5555555555556 41.4444444444444 24.2222222222222 7 21.6666666666667 13.4444444444444 34.6666666666667 48.1111111111111 0.42412857508549 0.469667920734287 0.463737076780862 0.505543767093443 0.268929056648355 0.369827298992384 0.716933598085391 0.71401835917965 0.363668180532781 0.334136668775585 73 79 FALSE"
"57","57 21.2222222222222 6.33333333333333 21.4444444444444 11.7777777777778 29.7777777777778 41.5555555555556 24.8888888888889 7 21.1111111111111 13 33.5555555555556 46.5555555555556 0.43696808125833 0.47888902370539 0.477215167547685 0.517737499287176 0.278578179455372 0.369420298585384 0.728127013723251 0.767903070959098 0.373164856696124 0.346234559661354 74 53 TRUE"
"58","58 21 5.88888888888889 20.1111111111111 12 29.3333333333333 41.3333333333333 24.8888888888889 6.44444444444444 22.1111111111111 12.5555555555556 33.5555555555556 46.1111111111111 0.431298526614767 0.490251546969176 0.474890261996973 0.529961185423905 0.26595191682911 0.380332996998082 0.744881863811434 0.751068054124081 0.381613701580613 0.340974677930884 53 80 FALSE"
"59","59 20.2222222222222 5.77777777777778 19.7777777777778 12.2222222222222 30.2222222222222 42.4444444444444 24.8888888888889 6.22222222222222 21.6666666666667 12.1111111111111 33.1111111111111 45.2222222222222 0.434776872685706 0.48003840977621 0.474008427781805 0.52081085862652 0.281824932702126 0.356523473188559 0.726363345292916 0.758283061339089 0.376761949559049 0.345723287191201 79 77 TRUE"
"60","60 21.1111111111111 5.55555555555556 20.1111111111111 13.2222222222222 30.4444444444444 43.6666666666667 24.4444444444444 6.11111111111111 21.5555555555556 11.8888888888889 34 45.8888888888889 0.431879417407298 0.481459008457083 0.477635639270442 0.525784979753091 0.250635848881463 0.349116065781151 0.74166125189517 0.73976454282057 0.382065797095906 0.350797225598473 69 95 FALSE"
"61","61 22.1111111111111 5.44444444444444 20.2222222222222 12.7777777777778 31.2222222222222 44 23.5555555555556 5.55555555555556 21.4444444444444 11.8888888888889 33.2222222222222 45.1111111111111 0.447528414287198 0.469243283960656 0.495081742089679 0.515761061509994 0.259895108140722 0.330429197094282 0.750611869179121 0.721967525023552 0.369708580065792 0.358991566317086 68 67 TRUE"
"62","62 21.5555555555556 4.77777777777778 20 11.8888888888889 31.7777777777778 43.6666666666667 23.7777777777778 6 22.1111111111111 10.8888888888889 33.7777777777778 44.6666666666667 0.439508998860376 0.476101994523071 0.48371143692536 0.521415823414756 0.27735542560104 0.33458843654764 0.76450075806801 0.70008200313803 0.377964514018321 0.353375215208291 54 82 FALSE"
"63","63 21.8888888888889 4.33333333333333 19.2222222222222 11.6666666666667 32.1111111111111 43.7777777777778 23.2222222222222 5.55555555555556 21.1111111111111 11.4444444444444 32.5555555555556 44 0.452284432521885 0.461279967042815 0.491906596063916 0.508387513081639 0.306320287899235 0.314653796024764 0.785699588477366 0.703190006246033 0.370398659393642 0.363097437430513 69 68 TRUE"
"64","64 21.4444444444444 5.22222222222222 18.2222222222222 11.2222222222222 32 43.2222222222222 23.7777777777778 5.22222222222222 20.2222222222222 11.1111111111111 32.2222222222222 43.3333333333333 0.457064374801828 0.458011993186606 0.497562813109261 0.502446735211037 0.310121457489879 0.315057836428804 0.770401681875112 0.715060851450212 0.364722704801279 0.363292248578294 71 74 TRUE"
"65","65 21.1111111111111 5 18 11.1111111111111 33.1111111111111 44.2222222222222 23.1111111111111 5.44444444444444 20 10.8888888888889 31.6666666666667 42.5555555555556 0.459121987970552 0.447817588255359 0.490775010268827 0.483968845298307 0.330954790823212 0.314278656126482 0.757270368743799 0.700455116683187 0.359406383695484 0.362512106734323 81 87 FALSE"
"66","66 21.8888888888889 4.77777777777778 17.5555555555556 10.3333333333333 32.6666666666667 43 22 5.22222222222222 19.3333333333333 11.7777777777778 31.1111111111111 42.8888888888889 0.466211935060499 0.442030551218322 0.492946371771174 0.477941448038033 0.360441970310391 0.310597956793609 0.751354730883716 0.680961939295273 0.35180904276481 0.364093326706347 66 70 TRUE"
"67","67 22.3333333333333 5.11111111111111 17.8888888888889 9.88888888888889 33.1111111111111 43 22 4.77777777777778 18.3333333333333 11.5555555555556 30 41.5555555555556 0.475966457024323 0.432545456367373 0.49934678139739 0.463821756498987 0.377108636977058 0.320320179015831 0.762611085277326 0.713429471762805 0.343061052581176 0.371564867511221 68 81 FALSE"
"68","68 22.6666666666667 4.88888888888889 18.4444444444444 9.33333333333333 32.3333333333333 41.6666666666667 21.3333333333333 4.55555555555556 18.8888888888889 12 29.4444444444444 41.4444444444444 0.478832418223618 0.431659935361654 0.506401455118731 0.4554481655167 0.367408460610215 0.353933624393982 0.777425900092141 0.720500178833512 0.343317586171043 0.374706175714089 86 70 TRUE"
"69","69 22.8888888888889 5.33333333333333 17.8888888888889 8.11111111111111 33.4444444444444 41.5555555555556 21.6666666666667 4.55555555555556 18.4444444444444 12.8888888888889 30.7777777777778 43.6666666666667 0.473087898193383 0.420019723721442 0.490831240582568 0.437264231386183 0.402496179908461 0.363192883653242 0.773722196388437 0.713766172099505 0.336060328913786 0.370360998412937 88 72 TRUE"
"70","70 22.3333333333333 5.33333333333333 17.4444444444444 8.44444444444444 31.7777777777778 40.2222222222222 22.7777777777778 5.55555555555556 17.3333333333333 12.1111111111111 31.5555555555556 43.6666666666667 0.457226044778787 0.441406524055611 0.472589117862834 0.454034181375311 0.412963168636319 0.40119192165228 0.783570681236922 0.744189452522786 0.349287842141299 0.359904149460513 80 82 TRUE"
"71","71 22.8888888888889 5.33333333333333 18.3333333333333 8.77777777777778 32.4444444444444 41.2222222222222 23 6 17.2222222222222 11.8888888888889 32.5555555555556 44.4444444444444 0.459362796915539 0.443203979237485 0.477234388133104 0.456944234285364 0.410317665990816 0.412041154723735 0.781466304132545 0.763572471905805 0.350423367037683 0.366114365265512 82 81 TRUE"
"72","72 22.3333333333333 5.33333333333333 18.7777777777778 8.88888888888889 31.2222222222222 40.1111111111111 23.5555555555556 6 18 11.3333333333333 33 44.3333333333333 0.451573118239785 0.463011761703495 0.474089734045054 0.473893386827737 0.390892646565797 0.441528334210914 0.790064187730428 0.767594593574986 0.363184026857166 0.362073961225108 76 80 FALSE"
"73","73 23.5555555555556 4.22222222222222 18.7777777777778 9.11111111111111 32.5555555555556 41.6666666666667 22.7777777777778 5.88888888888889 18.4444444444444 10.4444444444444 33.5555555555556 44 0.449464116130783 0.457137682113854 0.469373642741526 0.464814831301094 0.397980769171161 0.444334170350084 0.796102835073423 0.79845879110585 0.360145384499638 0.362305563332687 74 68 TRUE"
"74","74 21.625 4.75 20 12.75 30.5 43.25 24.375 6.25 20.125 12.375 33.875 46.25 0.408446682087195 0.458567958197329 0.431532515890719 0.502648066409516 0.347890284204939 0.298858173076923 0.759618316624896 0.777207711878764 0.35036216564131 0.310738827579945 84 59 TRUE"
